Table: Total Primary Energy Consumption per Capita (Million Btu per Person);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
Saint Kitts and Nevis;;17.12148;18.07561;21.07205;17.21027;17.31341;17.37672;17.51242;18.64213;21.84802;22.05161;22.18765;25.48811;25.33587;28.16228;33.00909;29.64755;33.21209;32.9373;32.53783;32.16005;31.70199;31.42407;31.08954;34.52433;37.73754;39.3872;51.6609;72.75418;72.35197;85.51091
Saint Lucia;;13.4066;10.4601;12.36701;11.20268;11.07514;13.44213;13.34465;14.75132;17.85736;17.77457;17.63735;17.43331;17.78714;16.00534;19.25326;19.30611;19.03559;19.77321;19.60209;19.46137;30.72851;32.00463;32.42464;35.40393;34.03415;33.8151;34.63872;36.30141;37.80126;39.60029
Saint Vincent/Grenadines;;7.4445;6.93254;7.36666;7.28216;7.20819;8.14249;8.30992;8.96729;10.56663;13.93709;13.16378;11.55857;12.9632;11.52094;18.3911;19.19924;19.16186;20.30741;24.07338;24.14296;24.89694;24.86344;26.45947;27.72384;29.82835;29.8763;29.30211;29.82898;30.09279;42.60677
Suriname;;114.59756;101.08413;96.84967;67.19638;62.49297;74.72514;67.67895;49.32171;57.23399;76.75554;87.49493;89.10648;86.97555;85.9083;88.59434;84.24776;82.35341;82.45409;81.71071;80.99412;67.6775;70.09572;72.01678;72.78756;73.88917;75.92549;77.49911;75.85937;75.40005;75.39686
Trinidad and Tobago;;159.67503;150.84746;148.84342;161.04729;214.54304;230.49014;170.3342;156.37023;159.66165;170.29471;180.25302;200.78643;196.25005;208.81934;246.04648;257.34838;284.25582;308.76363;308.10744;317.69574;335.9551;379.10774;401.31148;433.7336;476.05242;544.4062;665.10031;668.47392;727.65659;697.83869
Turks and Caicos Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.09808;12.60487;12.07976;12.78476;12.31618;22.37479;12.53599;9.3651;9.06905;8.74536;8.51267;7.94498;45.95588;99.42069;46.10627
Uruguay;;37.31676;35.16329;33.18281;40.24278;38.9189;36.01192;37.5526;39.90593;38.72013;33.91455;42.9413;38.02026;43.19234;40.79659;43.10429;38.61288;39.61343;43.33042;53.85232;48.13618;49.31593;48.33675;49.89899;48.11434;41.27509;45.66503;43.07319;50.98685;50.68372;44.69669
Venezuela;;107.5507;113.62239;111.81251;104.67922;103.57604;102.50874;108.12441;107.3719;105.37742;109.39863;107.98703;111.72576;109.54239;100.00394;115.34448;114.61557;117.31756;119.02825;125.43832;114.44691;117.86217;127.09929;121.2954;110.93381;117.68697;114.55627;123.5453;118.26526;122.46041;118.74852
Virgin Islands,  U.S.;;2507.33671;2242.76687;1624.74517;1138.98633;1328.51889;1484.73601;988.31589;1162.78684;813.17326;1237.81753;1115.26692;1133.08131;1147.5528;798.10402;1145.12263;1130.05868;1115.16627;1135.4424;1175.13791;2820.77293;1276.11515;1765.08718;1751.24733;2057.53104;2145.11884;2088.39056;2176.55884;1967.19219;2030.81024;1711.16029
Virgin Islands, British;;29.4599;44.65067;43.22084;41.59191;36.85369;36.63809;38.78567;43.77558;45.08793;46.51251;44.88809;43.29598;44.59433;43.38525;42.36274;41.32534;45.03734;44.09288;43.07878;42.10394;41.05371;40.26156;39.394;44.63484;55.3154;58.24156;60.86421;64.86624;66.60649;86.3803
Europe;;135.49842;130.50385;128.49114;128.57619;131.14909;134.4836;136.80179;138.8556;138.99474;139.17945;137.03162;135.56948;132.80932;132.7303;131.98103;134.719;138.81666;138.61725;139.21054;138.76735;140.02601;141.55653;140.44527;142.58804;144.49167;144.51129;144.82406;143.08766;142.22242;134.1814
Albania;;57.9299;56.75174;55.45018;55.96309;55.49845;54.40434;52.29452;51.15072;51.54023;47.03169;33.27445;29.18087;27.1392;19.22118;22.2424;24.15168;26.49093;23.96268;25.99616;29.69816;30.45457;29.28425;30.71569;37.29669;38.25494;39.97817;39.43053;34.49421;36.73802;41.78577
Austria;;145.14581;143.59268;136.58322;137.72356;141.00572;143.90382;143.14514;136.23602;146.70016;148.15624;150.72127;156.29154;151.55979;155.21353;153.47781;159.91014;165.76151;167.55424;170.65636;170.8711;171.59455;178.09149;178.92868;180.96077;184.79538;190.32883;188.10496;185.52892;185.65814;178.03176
Belgium;;209.63472;208.16805;196.33516;186.88603;193.52176;203.02452;209.47471;212.76982;211.50788;216.46928;219.53211;227.29402;222.87838;222.24085;234.6787;240.09818;254.08854;259.35403;264.04014;259.3348;266.29089;262.51752;259.74925;269.23342;271.23413;268.0088;265.40217;264.64593;279.92774;250.16873
Bosnia and Herzegovina;;--;--;--;--;--;--;--;--;--;--;--;--;60.73727;49.18917;27.52736;47.48292;31.69428;44.24532;48.7399;48.31684;55.40355;53.78331;55.60144;53.5826;58.30776;61.43053;63.08211;60.59354;64.7246;65.85187
Bulgaria;;149.41878;148.10048;152.81871;154.84084;155.8208;159.76147;157.93743;157.07568;156.90575;146.53113;132.72385;104.06865;104.13724;95.60994;101.09413;111.60336;116.21895;113.59472;106.35325;97.77057;110.98302;116.84117;114.14943;116.82857;116.35127;122.79449;126.81959;114.55652;112.18779;103.53463
Croatia;;--;--;--;--;--;--;--;--;--;--;--;--;69.49406;66.9611;74.87575;76.55193;78.00297;79.80943;84.22168;84.97649;85.15439;86.52834;83.41339;87.40116;90.76465;89.89856;92.37782;88.12105;90.54948;88.9077
Cyprus;;66.66201;56.76698;59.93123;65.43376;65.93966;68.8536;70.26145;77.34392;76.06122;90.09243;93.50376;91.5356;103.1656;90.11134;112.13839;109.22999;104.77889;104.80114;111.72758;116.07184;112.12899;120.62325;116.86021;115.65805;119.14398;118.56589;122.44637;120.67296;123.28863;115.695
Czech Republic;;--;--;--;--;--;--;--;--;--;--;--;--;--;155.15976;149.12376;151.57023;160.33173;141.98358;138.21334;129.694;135.88315;140.4144;140.37104;146.81424;146.59847;150.71577;155.12449;159.69999;157.95999;149.89753
Denmark;;168.46592;146.15759;144.33196;136.70381;140.60279;159.17987;159.16865;162.34693;157.02062;146.6357;149.5678;163.87875;153.51515;162.02733;168.38762;168.68916;185.90505;178.10022;173.44624;167.71094;163.61397;165.40478;158.87045;165.88705;159.01368;154.79128;164.54912;159.92096;152.57596;143.44335
Faroe Islands;;152.64079;11.67853;11.57723;11.56539;11.35211;11.23235;165.96274;171.68722;180.16497;196.67848;209.64331;193.45899;193.9527;193.62159;209.67266;224.29829;227.92809;227.61118;226.34492;222.01606;223.24158;219.42285;221.518;218.94008;221.10077;224.87485;242.61686;233.01457;233.95933;237.78068
Finland;;203.40507;206.22664;187.78103;186.13173;193.64176;195.16876;201.06918;215.8522;214.38075;215.78188;213.02034;215.61404;224.73655;225.77241;232.43228;220.83501;222.68583;228.75323;237.08863;234.32905;234.85245;236.85059;240.38437;253.33011;257.63125;241.28806;252.30476;252.76446;245.96818;227.63753
Former Czechoslovakia;;179.92158;177.9853;176.60479;177.90404;180.67401;183.86412;188.75805;192.35966;186.61167;188.29695;186.61482;164.55487;152.67098;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Former Serbia and Montenegro;;--;--;--;--;--;--;--;--;--;--;--;--;64.70909;51.43906;53.67749;45.80346;71.20796;72.14497;75.46886;61.65688;62.51419;66.26796;73.82655;73.93827;75.97409;71.56972;--;--;--;--
Former Yugoslavia;;76.5063;79.55146;80.85499;82.18001;95.27846;97.82612;97.7353;97.8516;97.62993;97.29807;92.72996;82.38794;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
